IDX,nomeCliente,composition,color,size,certification,brand,designLenght,sport,knittingType
270,Sidas,,White,42-44,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
271,Sidas,,White,42-44,Conventional,Sidas,Ankle/Quarter,Multisports,Half Terry
272,Sidas,,White,42-44,Conventional,Sidas,Liner,Multisports,Half Terry
273,Sidas,,Blue,42-44,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
274,Sidas,,Black,39-41,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
275,Sidas,,Pink,37-38,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
276,Sidas,,Blue,42-44,Conventional,Sidas,Ankle/Quarter,Multisports,Half Terry
277,Sidas,,Black,39-41,Conventional,Sidas,Ankle/Quarter,Multisports,Half Terry
278,Sidas,,Pink,37-38,Conventional,Sidas,Ankle/Quarter,Multisports,Half Terry
279,Sidas,,Blue,42-44,Conventional,Sidas,Liner,Multisports,Half Terry
280,Sidas,,Black,39-41,Conventional,Sidas,Liner,Multisports,Half Terry
281,Sidas,,Pink,37-38,Conventional,Sidas,Liner,Multisports,Half Terry
282,Sidas,53% Polyamide; 32% Multifilament Polyamide; 9% Silicone; 5% Elastane; 1% Reflective Yarns,Grey/ Neon Orange,35-36,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
283,Sidas,53% Polyamide; 32% Multifilament Polyamide; 9% Silicone; 5% Elastane; 1% Reflective Yarns,Grey/Neon Orange,37-38,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
284,Sidas,53% Polyamide; 32% Multifilament Polyamide; 9% Silicone; 5% Elastane; 1% Reflective Yarns,Grey/Neon Orange,44-46,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
285,Sidas,53% Polyamide; 32% Multifilament Polyamide; 9% Silicone; 5% Elastane; 1% Reflective Yarns,Grey/Neon Orange,47-49,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
286,Sidas,53% Polyamide; 32% Multifilament Polyamide; 9% Silicone; 5% Elastane; 1% Reflective Yarns,Grey/Neon Orange,40-41,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
287,Sidas,53% Polyamide; 32% Multifilament Polyamide; 9% Silicone; 5% Elastane; 1% Reflective Yarns,Grey/Neon Orange,39-40,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
288,Norrøna Sport AS,66% Merino Wool; 31% Polyamide; 3% Elastane,Black,43-45,RWS,Norrona Sokker,Knee High,Multisports,Half Terry
289,Sidas,95% Polyamide; 5% Elastane,Grey/Blue,40-41,Conventional,Sidas,Ankle/Quarter,Running,Half Terry
290,Compressport International SA,,White,T1,Conventional,N/A,Calf Sleeve,Multisports,Flat Knit
291,Compressport International SA,,White,T2,Conventional,N/A,Calf Sleeve,Multisports,Flat Knit
292,Compressport International SA,,White,T3,Conventional,N/A,Calf Sleeve,Multisports,Flat Knit
293,Compressport International SA,,White,T4,Conventional,N/A,Calf Sleeve,Multisports,Flat Knit
294,Sidas,67% Polyamide; 27% Multifilament Polyamide; 3% Elastane; 2% Silicone; 1% Reflective,Black/Turquoise,35-36,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
295,Sidas,67% Polyamide; 27% Multifilament Polyamide; 3% Elastane; 2% Silicone; 1% Reflective,Black/Turquoise,37-38,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
296,Sidas,67% Polyamide; 27% Multifilament Polyamide; 3% Elastane; 2% Silicone; 1% Reflective,Black/Turquoise,39-40,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
297,Sidas,67% Polyamide; 27% Multifilament Polyamide; 3% Elastane; 2% Silicone; 1% Reflective,Black/Turquoise,40-41,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
298,Sidas,67% Polyamide; 27% Multifilament Polyamide; 3% Elastane; 2% Silicone; 1% Reflective,Black/Turquoise,42-43,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
299,Sidas,67% Polyamide; 27% Multifilament Polyamide; 3% Elastane; 2% Silicone; 1% Reflective,Black/Turquoise,44-46,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
300,Sidas,67% Polyamide; 27% Multifilament Polyamide; 3% Elastane; 2% Silicone; 1% Reflective,Black/Turquoise,47-49,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
301,INCYLENCE oHG,,White,35-38,Conventional,Incylence,Crew/Mid Calf,Running,Flat Knit
302,INCYLENCE oHG,,White,39-42,Conventional,Incylence,Crew/Mid Calf,Running,Flat Knit
303,INCYLENCE oHG,,White,43-46,Conventional,Incylence,Crew/Mid Calf,Running,Flat Knit
304,INCYLENCE oHG,,White,47-50,Conventional,Incylence,Crew/Mid Calf,Running,Flat Knit
305,Pas Normal Studios ApS,90% Recycled Polyamide; 8% Polyamide; 2% Elastane,Off White,M,Sustainable,Pas Normal Studios,Crew/Mid Calf,Cycling,Flat Knit
306,Fusion ApS,48% Polypropylene; 44% Polyamide; 8% Elastane,White,38-40,Conventional,N/A,Crew/Mid Calf,Cycling,Flat Knit
307,Fusion ApS,48% Polypropylene; 44% Polyamide; 8% Elastane,White,41-43,Conventional,N/A,Crew/Mid Calf,Cycling,Flat Knit
308,Fusion ApS,48% Polypropylene; 44% Polyamide; 8% Elastane,White,44-46,Conventional,N/A,Crew/Mid Calf,Cycling,Flat Knit
309,Gococo AB,86% Polyamide; 14% Elastane,Cerise,M,Conventional,n/a,Calf Sleeve,Multisports,Flat Knit
310,INCYLENCE oHG,,Navy Coral,35-38,Conventional,Incylence,Crew/Mid Calf,Running,Selected Terry
311,INCYLENCE oHG,,Navy Coral,39-42,Conventional,Incylence,Crew/Mid Calf,Running,Selected Terry
312,INCYLENCE oHG,,Navy Coral,47-50,Conventional,Incylence,Crew/Mid Calf,Running,Selected Terry
313,Scan Trade Ltd.,,White/Green,30-34 POIK,Conventional,Umbro,Knee High,Football,Half Terry
314,Scan Trade Ltd.,,White/Green,35-39 JR,Conventional,Umbro,Knee High,Football,Half Terry
315,Scan Trade Ltd.,89% Polyamide; 11% Elastane,White/Green,40-44 SR,Conventional,Umbro,Knee High,Football,Half Terry
316,First Light Pty Ltd,49% Merino Wool; 48% Polyamide; 3% Elastane,Black,MED,Conventional,SNUX,Knee High,Ski,Selected Terry
317,Fingerscrossed GmbH,58% Merino Wool; 40% Polyamide; 2% Elastane,Black,35-38,Conventional,Fingerscrossed,Crew/Mid Calf,Basic,Half Terry
318,Fingerscrossed GmbH,58% Merino Wool; 40% Polyamide; 2% Elastane,Black,43-46,Conventional,Fingerscrossed,Crew/Mid Calf,Basic,Half Terry
319,Compressport International SA,96% Polyamide; 4% Elastane,Imperial Blue,T3/42-44,Conventional,N/A,Crew/Mid Calf,Running,Half Terry
320,USWE Sports AB,44% Recycled Polyamide; 24% Polyester; 19% Polyamide; 9% Recycled Polyester; 4% Elastane,Black/Asphalt,40-42,Sustainable,USWE Sports,Crew/Mid Calf,Cycling,Selected Terry
321,USWE Sports AB,60% Recycled Polyamide; 35% Polyamide; 5% Elastane,Black/Asphalt,40-42,Sustainable,USWE Sports,Ankle/Quarter,Trail Running,Selected Terry
322,Ecco Accessories Ltd,,Black,42-44,Conventional,N/A,Liner,Multisports,Half Terry
323,Ecco Accessories Ltd,80% Polyamide; 15% Polypropylene; 5% Elastane,Bright White,42-44,Conventional,N/A,Liner,Multisports,Half Terry
324,Ecco Accessories Ltd,59% Polyamide; 36% Polypropylene; 5% Elastane,Black,39-41,Conventional,N/A,Liner,Multisports,Half Terry
325,Ecco Accessories Ltd,59% Polyamide; 36% Polypropylene; 5% Elastane,Bright White,39-41,Conventional,N/A,Liner,Multisports,Half Terry
326,Ecco Accessories Ltd,86% Polyamide; 10% Polypropylene; 4% Elastane,Black,42-44,Oeko-Tex,N/A,Liner,Multisports,Half Terry
327,Sidas,76% Polyamide; 20% Merino Wool; 4% Elastane,Grey,42-44,Conventional,Thermic,Crew/Mid Calf,Multisports,Full Terry
328,NoBrakes ApS,,Butter,40-46,Sustainable,Woodbird,Crew/Mid Calf,Tennis,Half Terry
329,NoBrakes ApS,,White,40-46,Sustainable,Woodbird,Crew/Mid Calf,Tennis,Half Terry
330,NoBrakes ApS,,White/Black,40-46,Conventional,Woodbird,Crew/Mid Calf,Basic,Half Terry
331,NoBrakes ApS,,Black,40-46,Sustainable,Woodbird,Crew/Mid Calf,Tennis,Half Terry
332,NoBrakes ApS,,Black-White,36-40,Sustainable,Woodbird,Crew/Mid Calf,Tennis,Half Terry
333,NoBrakes ApS,80% Organic Cotton; 17% Polyamide; 3% Elastane,White-Black,36-40,Conventional,Woodbird,Crew/Mid Calf,Tennis,Half Terry
334,NoBrakes ApS,80% Organic Cotton; 17% Polyamide; 3% Elastane,White-Navy-Red,36-40,Sustainable,Woodbird,Crew/Mid Calf,Tennis,Half Terry
335,NoBrakes ApS,80% Organic Cotton; 17% Polyamide; 3% Elastane,White,36-40,Sustainable,Woodbird,Crew/Mid Calf,Tennis,Half Terry
336,NoBrakes ApS,80% Organic Cotton; 17% Polyamide; 3% Elastane,Black,36-40,Sustainable,Woodbird,Crew/Mid Calf,Tennis,Half Terry
337,Select Sport A/S,42% Polypropylene; 29% Cotton; 27% Polyamide; 2% Elastane,White,41-45,Conventional,Select Sport,Crew/Mid Calf,Multisports,Half Terry
338,Angry Pablo LTD,53% Econyl; 33% Polyamide; 8% Elastane; 6% Recycled Polyamide,White,"39-42,5",Conventional,Angry Pablo,Crew/Mid Calf,Basic,Flat Knit
339,Angry Pablo LTD,53% Econyl; 33% Polyamide; 8% Elastane; 6% Recycled Polyamide,Eggnog,"39-42,5",Conventional,Angry Pablo,Crew/Mid Calf,Basic,Flat Knit
340,Angry Pablo LTD,39% Econyl; 38% Polyamide; 13% Recycled Polyamide; 10% Elastane,White/Eggnog,"39-42,5",Conventional,Angry Pablo,Crew/Mid Calf,Basic,Half Terry
341,Angry Pablo LTD,70% Cotton; 22% Polyamide; 5% Recycled Polyamide; 3% Elastane,Gravel,"39-42,5",Conventional,Angry Pablo,Crew/Mid Calf,Basic,Half Terry
342,Sidas,,Blue,40-41,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
343,Sidas,60% Polyamide; 25% Multifilament Polyamide; 9% Elastane; 5% Silicone; 1% Reflective,Pink,24-26,Conventional,Sidas,Knee High,Ski,Half Terry
344,Sidas,60% Polyamide; 25% Multifilament Polyamide; 9% Elastane; 5% Silicone; 1% Reflective,Pink,27-30,Conventional,Sidas,Knee High,Ski,Half Terry
345,Sidas,60% Polyamide; 25% Multifilament Polyamide; 9% Elastane; 5% Silicone; 1% Reflective,Pink,31-34,Conventional,Sidas,Knee High,Ski,Half Terry
346,Sidas,60% Polyamide; 25% Multifilament Polyamide; 9% Elastane; 5% Silicone; 1% Reflective,Pink,35-38,Conventional,Sidas,Knee High,Ski,Half Terry
347,Sidas,90% Polyamide; 5% Elastane; 4% Silicone; 1% Reflective Yarns,Lilac/Green,35-36,Conventional,Sidas,Ankle/Quarter,Running,Half Terry
348,Sidas,90% Polyamide; 5% Elastane; 4% Silicone; 1% Reflective Yarns,Lilac/Green,37-38,Conventional,Sidas,Ankle/Quarter,Running,Half Terry
349,Sidas,90% Polyamide; 5% Elastane; 4% Silicone; 1% Reflective Yarns,Lilac/Green,39-40,Conventional,Sidas,Ankle/Quarter,Running,Half Terry
350,Sidas,90% Polyamide; 5% Elastane; 4% Silicone; 1% Reflective Yarns,Lilac/Green,40-41,Conventional,Sidas,Ankle/Quarter,Running,Half Terry
351,Sidas,90% Polyamide; 5% Elastane; 4% Silicone; 1% Reflective Yarns,Lilac/Green,44-46,Conventional,Sidas,Ankle/Quarter,Running,Half Terry
352,Sidas,90% Polyamide; 5% Elastane; 4% Silicone; 1% Reflective Yarns,Lilac/Green,47-49,Conventional,Sidas,Ankle/Quarter,Running,Half Terry
353,Sidas,90% Polyamide; 5% Elastane; 4% Silicone; 1% Reflective Yarns,Lilac/Green,42-43,Conventional,Sidas,Ankle/Quarter,Running,Half Terry
354,Sidas,75% Polyamide; 25% Elastane,Blue/Turquoise,2,Conventional,Sidas,Calf Sleeve,Multisports,Flat Knit
355,Sidas,60% Polyamide; 25% Multifilament Polyamide; 9% Elastane; 5% Silicone; 1% Reflective,Blue,L/42-43,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
356,Sidas,94% Polyamide; 6% Elastane,Bordeaux,37-38,Conventional,Sidas,Crew/Mid Calf,Ski,Selected Terry
357,Hultafors Group AB,"33% Polyamide; 19% Cotton; 19% Polyester; 18% Cocona 37,5 Polyester; 11% Elastane",Black/Grey Melange,37-39,Conventional,Snickers,Knee High,Work,Flat Knit
358,Hultafors Group AB,"33% Polyamide; 19% Cotton; 19% Polyester; 18% Cocona 37,5 Polyester; 11% Elastane",Black/Grey Melange,43-45,Conventional,Snickers,Knee High,Work,Flat Knit
359,Gococo AB,,Blue,L/42-44,Conventional,n/a,Knee High,Multisports,Half Terry
360,BERGMENSCH GmbH,73% Merino Wool; 25% Polyamide; 2% Elastane,Heather Grey,38-42,Conventional,BERGMENSCH,Crew/Mid Calf,Hiking/Trekking,Half Terry
361,BERGMENSCH GmbH,73% Merino Wool; 25% Polyamide; 2% Elastane,Heather Grey,35-37,Conventional,BERGMENSCH,Crew/Mid Calf,Hiking/Trekking,Half Terry
362,BERGMENSCH GmbH,73% Merino Wool; 25% Polyamide; 2% Elastane,Heather Grey,43-46,Conventional,BERGMENSCH,Crew/Mid Calf,Hiking/Trekking,Half Terry
363,Ryzon GmbH,94% Polyamide; 6% Elastane,White,43-45,Conventional,Ryzon,Crew/Mid Calf,Cycling,Flat Knit
364,Ryzon GmbH,94% Polyamide; 6% Elastane,White,43-45,Conventional,Ryzon,Crew/Mid Calf,Cycling,Flat Knit
365,Select Sport A/S,42% Polypropylene; 29% Cotton; 27% Polyamide; 2% Elastane,White,28-31,Conventional,Select Sport,Crew/Mid Calf,Multisports,Half Terry
366,Select Sport A/S,42% Polypropylene; 29% Cotton; 27% Polyamide; 2% Elastane,White,32-35,Conventional,Select Sport,Crew/Mid Calf,Multisports,Half Terry
367,Select Sport A/S,42% Polypropylene; 29% Cotton; 27% Polyamide; 2% Elastane,White,36-40,Conventional,Select Sport,Crew/Mid Calf,Multisports,Half Terry
368,Select Sport A/S,42% Polypropylene; 29% Cotton; 27% Polyamide; 2% Elastane,White,46-48,Conventional,Select Sport,Crew/Mid Calf,Multisports,Half Terry
369,UAB Audimas Brand,"40% Polyamide; 23% Acrylic; 23% Merino Wool; 12% Cocona 37,5 Polyester; 2% Elastane",Black/Grey,38-40,Sustainable,Audimas,Crew/Mid Calf,Multisports,Selected Terry
370,UAB Audimas Brand,35% Cotton; 35% Polyester; 28% Polyamide; 2% Elastane,Black,38-40,Conventional,Audimas,Ankle/Quarter,Multisports,Full Terry
371,UAB Audimas Brand,33% Cotton; 33% Polyester; 31% Polyamide; 3% Elastane,Black,38-40,Conventional,Audimas,Crew/Mid Calf,Multisports,Full Terry
372,Comfysocks A/S,43% Cotton; 27% Polypropylene; 25% Polyamide; 5% Elastane,Black/Gold,41-45,Conventional,N/A,Crew/Mid Calf,Athleisure,Half Terry
373,Fingerscrossed GmbH,,Red,35-38,Conventional,Fingerscrossed,Crew/Mid Calf,Basic,Half Terry
374,Fingerscrossed GmbH,,Red,43-46,Conventional,Fingerscrossed,Crew/Mid Calf,Basic,Half Terry
375,Ecco Accessories Ltd,80% Polyamide; 15% Polypropylene; 5% Elastane,Black,42-44,Conventional,N/A,Liner,Multisports,Half Terry
376,Ecco Accessories Ltd,,Black,42-44,Conventional,N/A,Liner,Multisports,Half Terry
377,WaterNlife ApS,75% Organic Cotton; 23% Recycled Polyamide; 2% Elastane,Black,39-42,Sustainable,Danish Endurance,Crew/Mid Calf,Tennis,Half Terry
378,Picture Organic Clothing,90% Cotton; 7% Polyamide; 3% Elastane,Classic Green,40-43,Conventional,Picture Organic Clothing,Crew/Mid Calf,Ski,Flat Knit
379,Picture Organic Clothing,90% Cotton; 7% Polyamide; 3% Elastane,Orange,40-43,Conventional,Picture Organic Clothing,Crew/Mid Calf,Ski,Flat Knit
380,Picture Organic Clothing,90% Cotton; 7% Polyamide; 3% Elastane,Brown,40-43,Conventional,Picture Organic Clothing,Crew/Mid Calf,Ski,Flat Knit
381,WaterNlife ApS,75% Organic Cotton; 23% Recycled Polyamide; 2% Elastane,Black,39-42,Sustainable,Danish Endurance,Crew/Mid Calf,Tennis,Half Terry
382,WaterNlife ApS,75% Organic Cotton; 23% Recycled Polyamide; 2% Elastane,Black,35-38,Sustainable,Danish Endurance,Crew/Mid Calf,Tennis,Half Terry
383,WaterNlife ApS,75% Organic Cotton; 23% Recycled Polyamide; 2% Elastane,Black,43-47,Sustainable,Danish Endurance,Crew/Mid Calf,Tennis,Half Terry
384,Design & Development GmbH,75% Cotton; 23% Polyamide; 2% Elastane,Olive,35-38,Sustainable,Safersox,Crew/Mid Calf,Multisports,Half Terry
385,Design & Development GmbH,75% Cotton; 23% Polyamide; 2% Elastane,Olive,35-38,Conventional,Safersox,Crew/Mid Calf,Multisports,Half Terry
386,Design & Development GmbH,75% Cotton; 23% Polyamide; 2% Elastane,Grey Melange,43-46,Conventional,Safersox,Crew/Mid Calf,Multisports,Half Terry
387,Sidas,53% Polyamide; 32% Multifilament Polyamide; 9% Silicone; 5% Elastane; 1% Reflective Yarns,Navy/Grey,40-41,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
388,TruSox LLC,75% Cotton; 23% Polyamide; 2% Elastane,Royal Blue/White,SM,Conventional,N/A,Knee High,Football,Half Terry
389,Sidas,53% Polyamide; 32% Multifilament Polyamide; 9% Silicone; 5% Elastane; 1% Reflective Yarns,Black/Grey,42-43,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
390,JLION CLOTHING SL,49% Econyl; 46% Polyamide; 5% Elastane,Pink,L (41-46),Conventional,Jimmy Lion,Crew/Mid Calf,Multisports,Flat Knit
391,TruSox LLC,63% Polyamide; 35% Cotton; 2% Elastane,Sky Blue/Black,LG,Conventional,N/A,Crew/Mid Calf,Football,Half Terry
392,VAUDE Sport GmbH & Co. KG,69% Recycled Polyamide; 26% Polyamide; 5% Elastane,White,36-38,Sustainable,Vaude,Crew/Mid Calf,Cycling,Half Terry
393,VAUDE Sport GmbH & Co. KG,69% Recycled Polyamide; 26% Polyamide; 5% Elastane,White,42-44,Sustainable,Vaude,Crew/Mid Calf,Cycling,Half Terry
394,VAUDE Sport GmbH & Co. KG,69% Recycled Polyamide; 26% Polyamide; 5% Elastane,White,45-47,Sustainable,Vaude,Crew/Mid Calf,Cycling,Half Terry
395,Canyon Bicycles GmbH,72% Cotton; 26% Polyamide; 2% Elastane,Black,43-45,Conventional,N/A,Crew/Mid Calf,Multisports,Selected Terry
396,Canyon Bicycles GmbH,72% Cotton; 26% Polyamide; 2% Elastane,White,43-45,Conventional,N/A,Crew/Mid Calf,Multisports,Selected Terry
397,POC Sweden AB,94% Polyamide; 6% Elastane,White,40-41,Conventional,POC,Knee High,Ski,Flat Knit
398,POC Sweden AB,65% Merino Wool; 33% Polyamide; 2% Elastane,Black,40-41,Conventional,POC,Knee High,Ski,Flat Knit
399,INCYLENCE oHG,49% Recycled Polyamide; 44% Econyl; 7% Recycled Elastane,Black,35-38,Conventional,Incylence,Crew/Mid Calf,Running,Selected Terry
400,INCYLENCE oHG,49% Recycled Polyamide; 44% Econyl; 7% Recycled Elastane,Black,39-42,Conventional,Incylence,Crew/Mid Calf,Running,Selected Terry
401,INCYLENCE oHG,49% Recycled Polyamide; 44% Econyl; 7% Recycled Elastane,Black,47-50,Conventional,Incylence,Crew/Mid Calf,Running,Selected Terry
402,Ryzon GmbH,97% Polyamide; 3% Elastane,Abyss Blue/Velvet Red,39-42,Conventional,Ryzon,Crew/Mid Calf,Multisports,Flat Knit
403,Ryzon GmbH,,Violet Dusk/ Arctic White,39-42,Conventional,Ryzon,Crew/Mid Calf,Multisports,Flat Knit
404,Ryzon GmbH,,Hidden Pine/ Arctic White,39-42,Conventional,Ryzon,Crew/Mid Calf,Multisports,Flat Knit
405,New Retex A/S,,Indigo,40-43,Sustainable,N/A,Crew/Mid Calf,Basic,Flat Knit
406,Design & Development GmbH,75% Cotton; 23% Polyamide; 2% Elastane,Navy,43-46,Conventional,Safersox,Crew/Mid Calf,Multisports,Half Terry
407,Picture Organic Clothing,,Bayberry,40-43,Conventional,Picture Organic Clothing,Crew/Mid Calf,Multisports,Half Terry
408,Picture Organic Clothing,,Bison,40-43,Conventional,Picture Organic Clothing,Crew/Mid Calf,Multisports,Half Terry
409,TruSox LLC,72% Polyamide; 26% Cotton; 2% Elastane,Navy/White,LG,Conventional,N/A,Knee High,Football,Half Terry
410,TruSox LLC,72% Polyamide; 26% Cotton; 2% Elastane,Red/White,MD,Conventional,N/A,Knee High,Football,Half Terry
411,WaterNlife ApS,38% Merino Wool; 30% Acrylic; 30% Polyamide; 2% Elastane,Black,43-47,Conventional,Danish Endurance,Crew/Mid Calf,Hiking/Trekking,Half Terry
412,WaterNlife ApS,38% Merino Wool; 30% Acrylic; 30% Polyamide; 2% Elastane,Black/Grey,35-38,Conventional,Danish Endurance,Crew/Mid Calf,Hiking/Trekking,Half Terry
413,WaterNlife ApS,38% Merino Wool; 30% Acrylic; 30% Polyamide; 2% Elastane,Black/Grey,39-42,Conventional,Danish Endurance,Crew/Mid Calf,Hiking/Trekking,Half Terry
414,WaterNlife ApS,38% Merino Wool; 30% Acrylic; 30% Polyamide; 2% Elastane,Black/Grey,43-47,Conventional,Danish Endurance,Crew/Mid Calf,Hiking/Trekking,Half Terry
415,Ecco Accessories Ltd,80% Polyamide; 15% Polypropylene; 5% Elastane,Air,42-44,Conventional,N/A,Crew/Mid Calf,Multisports,Selected Terry
416,Canyon Bicycles GmbH,,Black,43-46,Conventional,N/A,Crew/Mid Calf,Multisports,Selected Terry
417,Ecco Accessories Ltd,,Bright White,42-44,Conventional,N/A,Liner,Multisports,Half Terry
418,Ecco Accessories Ltd,59% Polyamide; 36% Polypropylene; 5% Elastane,Air,39-41,Conventional,N/A,Ankle/Quarter,Multisports,Half Terry
419,Sidas,60% Polyamide; 25% Multifilament Polyamide; 9% Elastane; 5% Silicone; 1% Reflective,Black,XL 44-46,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
420,WaterNlife ApS,75% Organic Cotton; 23% Recycled Polyamide; 2% Elastane,Grey,43-47,Sustainable,Danish Endurance,Crew/Mid Calf,Tennis,Half Terry
421,WaterNlife ApS,75% Organic Cotton; 23% Recycled Polyamide; 2% Elastane,Grey,43-47,Sustainable,Danish Endurance,Crew/Mid Calf,Tennis,Half Terry
422,WaterNlife ApS,38% Merino Wool; 30% Acrylic; 30% Polyamide; 2% Elastane,Forest Green,43-47,Conventional,Danish Endurance,Crew/Mid Calf,Hiking/Trekking,Half Terry
423,WaterNlife ApS,38% Merino Wool; 30% Acrylic; 30% Polyamide; 2% Elastane,Oak Brown,43-47,Conventional,Danish Endurance,Crew/Mid Calf,Hiking/Trekking,Half Terry
424,WaterNlife ApS,38% Merino Wool; 30% Acrylic; 30% Polyamide; 2% Elastane,Red,39-42,Conventional,Danish Endurance,Crew/Mid Calf,Hiking/Trekking,Half Terry
425,Comfysocks A/S,,White/Grey,41-45,Conventional,N/A,Crew/Mid Calf,Athleisure,Half Terry
426,Canyon Bicycles GmbH,97% Polyamide; 3% Elastane,Black,43-45,Conventional,N/A,Crew/Mid Calf,Cycling,Flat Knit
427,Compressport International SA,98% Polyamide; 2% Elastane,White/Red,TU,Conventional,N/A,N/A,Multisports,Flat Knit
428,Sidas,94% Polyamide; 6% Elastane,Black/Pink,31-34,Conventional,Sidas,Knee High,Ski,Half Terry
429,Norrøna Sport AS,,Black,43-45,RWS,Norrona Sokker,Knee High,Ski,Flat Knit
430,Norrøna Sport AS,51% Polyamide; 45% Merino Wool; 4% Elastane,Black,43-45,RWS,Norrona Sokker,Knee High,Ski,Half Terry
431,Sidas,,Black/White,L/ 42-43,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
432,Norrøna Sport AS,58% Merino Wool; 40% Polyamide; 2% Elastane,Black,43-45,RWS,Norrona Sokker,Knee High,Ski,Half Terry
433,Pas Normal Studios ApS,90% Recycled Polyamide; 8% Polyamide; 2% Elastane,Off White,S,Sustainable,Pas Normal Studios,Crew/Mid Calf,Cycling,Flat Knit
434,Sidas,87% Polyamide; 6% Poly Glow; 5% Elastane; 2% Silicone,White,42-43,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
435,Sidas,87% Polyamide; 6% Poly Glow; 5% Elastane; 2% Silicone,White,42-43,Conventional,Sidas,Crew/Mid Calf,Multisports,Half Terry
436,New Retex A/S,,Lino,40-43,Sustainable,N/A,Crew/Mid Calf,Basic,Flat Knit
437,New Retex A/S,,Rosa,40-43,Sustainable,N/A,Crew/Mid Calf,Basic,Flat Knit
438,New Retex A/S,,Echo Light Bluee,40-43,Sustainable,N/A,Crew/Mid Calf,Basic,Flat Knit
439,Brav Norway AS,,Stock,37-39,Conventional,Ulvang,Crew/Mid Calf,Multisports,Flat Knit
440,Brav Norway AS,,Stock,37-39,Conventional,Ulvang,Crew/Mid Calf,Multisports,Flat Knit
441,Brav Norway AS,,Stock,37-39,Conventional,Ulvang,Knee High,Multisports,Flat Knit
442,Brav Norway AS,,Stock,37-39,Conventional,Ulvang,Knee High,Multisports,Flat Knit
443,Brav Norway AS,,Stock,37-39,Conventional,Ulvang,Crew/Mid Calf,Multisports,Half Terry
444,Brav Norway AS,,Stock,37-39,Conventional,Ulvang,Crew/Mid Calf,Multisports,Half Terry
445,Gococo AB,59% Polyamide; 18% Cotton; 18% Polyester; 5% Elastane,Black,29-33,Conventional,n/a,Knee High,Equestrianism,Half Terry
446,Gococo AB,59% Polyamide; 18% Cotton; 18% Polyester; 5% Elastane,Black,34-36,Conventional,n/a,Knee High,Equestrianism,Half Terry
447,Gococo AB,59% Polyamide; 18% Cotton; 18% Polyester; 5% Elastane,Black,37-39,Conventional,n/a,Knee High,Equestrianism,Half Terry
448,Gococo AB,59% Polyamide; 18% Cotton; 18% Polyester; 5% Elastane,Black,40-42,Conventional,n/a,Knee High,Equestrianism,Half Terry
449,Gococo AB,59% Polyamide; 18% Cotton; 18% Polyester; 5% Elastane,Black,43-46,Conventional,n/a,Knee High,Equestrianism,Half Terry
450,JLION CLOTHING SL,53% Econyl; 43% Polyamide; 4% Elastane,Black,M (36-40),Sustainable,Jimmy Lion,Crew/Mid Calf,Cycling,Flat Knit
451,JLION CLOTHING SL,53% Econyl; 43% Polyamide; 4% Elastane,White,L (41-46),Sustainable,Jimmy Lion,Crew/Mid Calf,Cycling,Flat Knit
452,Compressport International SA,95% Polyamide; 5% Elastane,White/Black,T3/42-44,Conventional,N/A,Crew/Mid Calf,Multisports,Half Terry
453,Compressport International SA,95% Polyamide; 5% Elastane,Black/Safety Yellow/Neon Pink,T3/42-44,Conventional,N/A,Crew/Mid Calf,Multisports,Half Terry
454,Compressport International SA,95% Polyamide; 5% Elastane,Mood Indigo/Magenta,T2/ 39-41,Conventional,N/A,Crew/Mid Calf,Multisports,Half Terry
455,Norrøna Sport AS,,Black,43-45,RWS,Norrona Sokker,Crew/Mid Calf,Hiking/Trekking,Flat Knit
456,Norrøna Sport AS,,Black,43-45,RWS,Norrona Sokker,Crew/Mid Calf,Hiking/Trekking,Flat Knit
457,Norrøna Sport AS,,Black/Brown,43-45,RWS,Norrona Sokker,Ankle/Quarter,Hiking/Trekking,Flat Knit
