IDX,nomeCliente,composition,color,size,certification,brand,designLenght,sport,knittingType
758,VAUDE Sport GmbH & Co. KG,56% Recycled Polyamide; 43% Merino Wool; 1% Elastane,Dark Sea,36-38,Sustainable,Vaude,Ankle/Quarter,Hiking/Trekking,Half Terry
759,VAUDE Sport GmbH & Co. KG,56% Recycled Polyamide; 43% Merino Wool; 1% Elastane,Dark Sea,45-47,Sustainable,Vaude,Ankle/Quarter,Hiking/Trekking,Half Terry
760,VAUDE Sport GmbH & Co. KG,56% Polyamide; 43% Merino Wool; 1% Elastane,Linen,42-44,Sustainable,Vaude,Ankle/Quarter,Hiking/Trekking,Half Terry
761,Hultafors Group AB,,Grey Melange,37-40,Conventional,Snickers,Crew/Mid Calf,Work,Half Terry
762,Hultafors Group AB,,Grey Melange,41-44,Conventional,Snickers,Crew/Mid Calf,Work,Half Terry
763,Hultafors Group AB,,Grey Melange,45-48,Conventional,Snickers,Crew/Mid Calf,Work,Half Terry
764,Hultafors Group AB,,White,37-40,Conventional,Snickers,Crew/Mid Calf,Work,Half Terry
765,Hultafors Group AB,,White,41-44,Conventional,Snickers,Crew/Mid Calf,Work,Half Terry
766,Hultafors Group AB,,White,45-48,Conventional,Snickers,Crew/Mid Calf,Work,Half Terry
767,Hultafors Group AB,,Black,37-40,Conventional,Snickers,Crew/Mid Calf,Work,Half Terry
768,Hultafors Group AB,,Black,41-44,Conventional,Snickers,Crew/Mid Calf,Work,Half Terry
769,Hultafors Group AB,,Black,45-48,Conventional,Snickers,Crew/Mid Calf,Work,Half Terry
770,USWE Sports AB,44% Recycled Polyamide; 24% Polyester; 19% Polyamide; 9% Recycled Polyester; 4% Elastane,Olive Night + Black,40-42,Sustainable,USWE Sports,Crew/Mid Calf,Cycling,Selected Terry
771,Ecco Accessories Ltd,,Grey,43-46,Conventional,Ecco,Invisible,Multisports,Half Terry
772,Ecco Accessories Ltd,,Black,39-42,Conventional,Ecco,Invisible,Multisports,Half Terry
773,Hultafors Group AB,,White,37-40,Conventional,Snickers,Ankle/Quarter,Work,Half Terry
774,Hultafors Group AB,,White,41-44,Conventional,Snickers,Ankle/Quarter,Work,Half Terry
775,Hultafors Group AB,,White,45-48,Conventional,Snickers,Ankle/Quarter,Work,Half Terry
776,Hultafors Group AB,,Black,37-40,Conventional,Snickers,Ankle/Quarter,Work,Half Terry
777,Hultafors Group AB,,Black,41-44,Conventional,Snickers,Ankle/Quarter,Work,Half Terry
778,Hultafors Group AB,,Black,45-48,Conventional,Snickers,Ankle/Quarter,Work,Half Terry
779,GripGrab ApS,,Black,41-44,Conventional,GripGrab,Crew/Mid Calf,Cycling,Flat Knit
780,Ryzon GmbH,,White,39-42,Conventional,Ryzon,Crew/Mid Calf,Cycling,Flat Knit
781,Ryzon GmbH,,White,43-45,Conventional,Ryzon,Crew/Mid Calf,Cycling,Flat Knit
782,Ryzon GmbH,,White,35-38,Conventional,Ryzon,Crew/Mid Calf,Cycling,Flat Knit
783,Sidas,,Pink,24-26,Conventional,Sidas,Knee High,Ski,Half Terry
784,Sidas,49% Reconylon; 25% Organic Cotton; 11% Polyamide; 8% Econyl; 5% Recycled Elastane; 2% Elastane,Pink,35-38,Conventional,Sidas,Knee High,Ski,Half Terry
785,Sidas,,Pink,27-30,Conventional,Sidas,Knee High,Ski,Half Terry
786,Sidas,,Pink,24-26,Conventional,Sidas,Knee High,Ski,Half Terry
787,Sidas,,Pink,35-38,Conventional,Sidas,Knee High,Ski,Half Terry
788,Sidas,,Pink,31-34,Conventional,Sidas,Knee High,Ski,Half Terry
789,POULET VINAIGRETTE,,LE POULET SPORTIF,43/47,Sustainable,JOSETTTE & TIC,Crew/Mid Calf,Multisports,Half Terry
790,INCYLENCE oHG,,White,35-38,Conventional,Incylence,Crew/Mid Calf,Running,Half Terry
791,INCYLENCE oHG,,Black,39-42,Conventional,Incylence,Crew/Mid Calf,Running,Half Terry
792,INCYLENCE oHG,,White,39-42,Conventional,Incylence,Crew/Mid Calf,Running,Half Terry
793,INCYLENCE oHG,,Black,43-46,Conventional,Incylence,Crew/Mid Calf,Running,Half Terry
794,INCYLENCE oHG,,White,47-50,Conventional,Incylence,Crew/Mid Calf,Running,Half Terry
795,INCYLENCE oHG,,Black,47-50,Conventional,Incylence,Crew/Mid Calf,Running,Half Terry
796,INCYLENCE oHG,,White,43-46,Conventional,Incylence,Crew/Mid Calf,Running,Half Terry
797,INCYLENCE oHG,,Black,35-38,Conventional,Incylence,Crew/Mid Calf,Running,Half Terry
798,INCYLENCE oHG,,White,43-46,Conventional,Incylence,Crew/Mid Calf,Running,Half Terry
799,INCYLENCE oHG,,Black,43-46,Conventional,Incylence,Crew/Mid Calf,Running,Half Terry
800,Sidas,,Blue/Purple,35-36,Conventional,Sidas,Knee High,Multisports,Half Terry
801,Sidas,,Blue/Purple,37-38,Conventional,Sidas,Knee High,Multisports,Half Terry
802,Sidas,,Blue/Purple,39-40,Conventional,Sidas,Knee High,Multisports,Half Terry
803,Sidas,,Blue/Purple,41-42,Conventional,Sidas,Knee High,Multisports,Half Terry
